what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313944175479
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313944180758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313944182643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313944198808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313944225077
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1313944242352
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313944242526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313944682626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313947693741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313947719573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313947730545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313947732926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948008081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948016488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313948026728
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948032832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313948054186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948061427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948075306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948077356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948089851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948096675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948110788
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948119094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948138246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948159037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948165397
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313948213000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948219444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948222440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948285617
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948287076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948327888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948342675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948497615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948502427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313948649625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948650419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948716513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948726100
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948735136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948743945
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948751075
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948762497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948826828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948851011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948870072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313948937669
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313948939308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948940231
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948975959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313948983142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949044251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949048901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949050946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949051067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949052478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949052485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949053797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949055089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949055236
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949059785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949071635
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949091386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949093300
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1313949093395
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949094791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949099729
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949101048
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949119042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949147669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949163868
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949169180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949170525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949170806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949171077
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949171341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949171579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949171826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949172084
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949172773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949173518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949173931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949174220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949174561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949174808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949175165
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949175485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949176264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949178096
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949178578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949178912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949179285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949179544
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949179873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949180119
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949180393
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949181148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949181981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949182696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949183739
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949184789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949186262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949186664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949187026
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949187405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949187647
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949187861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949188279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949190369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949190644
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949190942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949191217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949191570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949191988
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949192552
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949193615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1313949194807
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1313949210435
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1313949211730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1313949212059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313949215966
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949218538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949247918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949310407
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949312409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949318994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949321635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313949323705
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949325246
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949326621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949335571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949349017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949358716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949364974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949374609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949380765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949394626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949408653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313949437526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949441780
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949447314
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313949448320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313949451836
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949460897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313949462599
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313949638823
